Płeć_encoded,Wiek,5km_seconds,total_seconds
0,31,877,3899
0,37,888,3983
0,27,946,4104
0,35,971,4216
0,28,972,4227
0,40,969,4234
0,24,937,4278
0,34,990,4302
0,22,1030,4456
0,31,1013,4462
0,26,1029,4483
0,31,1035,4490
0,27,1035,4496
0,32,1036,4505
1,28,1038,4520
0,33,1037,4533
0,39,1013,4539
0,42,1037,4550
0,49,1039,4561
0,31,994,4574
0,45,1039,4575
0,33,1062,4578
0,31,1035,4580
0,30,994,4602
1,38,1038,4614
0,42,1038,4616
0,30,1037,4623
0,25,1100,4626
0,32,1035,4643
0,47,1094,4680
0,53,1071,4698
0,35,1093,4709
0,31,1071,4725
0,28,1095,4735
0,44,1039,4765
0,34,1105,4786
0,45,1101,4790
0,34,1092,4794
0,32,1148,4796
0,37,1102,4799
0,39,1127,4816
0,35,1102,4817
0,41,1147,4825
0,36,1036,4834
0,22,1101,4834
0,32,1072,4836
0,36,1062,4836
1,33,1072,4840
0,45,1124,4841
0,43,1124,4844
0,35,1128,4851
0,44,1093,4852
0,43,1107,4858
0,29,1129,4861
0,33,1094,4865
0,49,1134,4865
0,23,1128,4869
0,49,1135,4872
0,49,1094,4877
0,40,1103,4878
0,44,1160,4878
0,31,1105,4881
0,49,1134,4883
0,44,1119,4887
0,31,1124,4889
0,22,1127,4889
0,23,1130,4890
0,45,1061,4891
0,20,1097,4895
0,38,1132,4898
0,27,1126,4904
0,28,1158,4905
0,43,1147,4912
0,30,1118,4912
0,33,1072,4914
0,39,1132,4920
0,45,1168,4921
0,47,1156,4925
0,33,1124,4926
0,22,1124,4938
0,35,1131,4942
0,41,1143,4946
0,39,1147,4952
0,37,1139,4959
0,21,1134,4972
0,38,1140,4973
0,39,1163,4974
0,39,1133,4974
1,30,1139,4977
0,38,1127,4983
0,37,1183,4984
0,51,1169,4986
0,30,1175,4995
0,48,1144,4996
0,36,1158,4998
0,43,1193,5003
0,34,1179,5020
0,33,1103,5022
0,41,1155,5025
0,53,1180,5025
0,37,1129,5028
0,46,1136,5030
0,30,1137,5031
0,35,1141,5032
0,42,1152,5035
0,45,1128,5035
0,36,1166,5041
0,34,1158,5043
0,22,1171,5047
0,41,1132,5051
0,50,1201,5061
0,29,1162,5063
0,47,1212,5069
0,36,1132,5075
0,38,1149,5080
0,44,1143,5087
0,45,1144,5090
0,23,1161,5091
0,23,1202,5091
0,49,1174,5091
0,37,1166,5093
0,29,1199,5093
0,35,1191,5094
0,35,1182,5094
0,34,1179,5095
0,27,1193,5098
0,40,1178,5100
0,35,1202,5102
0,44,1147,5104
0,43,1145,5106
1,22,1188,5112
0,26,1130,5115
0,43,1189,5118
0,23,1202,5118
0,48,1201,5119
0,46,1163,5119
0,30,1166,5123
0,41,1163,5124
0,33,1224,5128
